timestamp_ns,time_sec,flight_id,fault_type,alt_error,aspd_error,xtrack_error,wp_dist,nav_roll,nav_pitch,nav_yaw,nav_x,nav_y,nav_z,label_anomaly
1536693419523319448,0.0,carbonZ_2018-09-11-15-06-34_1_rudder_right_failure,rudder,0.179999992251,-265.189544678,-28.5482292175,15,9.61367321014,-1.68626523018,-72.0391235352,5.05671310425,-17.3055858612,0.2999355793,0
1536693419549132120,0.025812672,carbonZ_2018-09-11-15-06-34_1_rudder_right_failure,rudder,0.179999992251,-265.189544678,-28.5482292175,15,9.61367321014,-1.68626523018,-72.0391235352,5.16429376602,-17.2618179321,0.328086227179,0
1536693419663381656,0.140062208,carbonZ_2018-09-11-15-06-34_1_rudder_right_failure,rudder,0.209999993443,-265.189544678,-26.7349529266,17,23.8746452332,-1.50390613079,-71.524810791,5.39040660858,-17.1851348877,0.407860130072,0
1536693419674699544,0.151380096,carbonZ_2018-09-11-15-06-34_1_rudder_right_failure,rudder,0.209999993443,-265.189544678,-26.7349529266,17,23.8746452332,-1.50390613079,-71.524810791,5.4593205452,-17.1633701324,0.434650987387,0
1536693419738878808,0.21555936,carbonZ_2018-09-11-15-06-34_1_rudder_right_failure,rudder,0.25,-260.147277832,-24.9458808899,19,23.8746452332,-1.50390613079,-71.524810791,5.71118736267,-17.0743637085,0.520975589752,0
1536693419799192984,0.275873536,carbonZ_2018-09-11-15-06-34_1_rudder_right_failure,rudder,0.299999982119,-260.147277832,-191.962875366,20,23.8746452332,-1.50390613079,-71.524810791,5.90691184998,-17.004404068,0.595986127853,0
1536693419865203576,0.341884128,carbonZ_2018-09-11-15-06-34_1_rudder_right_failure,rudder,0.299999982119,-260.147277832,-191.962875366,20,23.8746452332,-1.50390613079,-71.524810791,6.06195402145,-16.9479408264,0.635198831558,0
1536693419905189880,0.381870432,carbonZ_2018-09-11-15-06-34_1_rudder_right_failure,rudder,0.370000004768,-164.296539307,-190.280700684,22,23.8746452332,-1.50390613079,-71.524810791,6.28815221786,-16.8803672791,0.711028695107,0
1536693419955439576,0.432120128,carbonZ_2018-09-11-15-06-34_1_rudder_right_failure,rudder,0.370000004768,-164.296539307,-190.280700684,22,23.8746452332,-1.50390613079,-71.524810791,6.44750547409,-16.8236255646,0.757028758526,0
1536693419999853048,0.4765336,carbonZ_2018-09-11-15-06-34_1_rudder_right_failure,rudder,0.439999997616,-164.296539307,-188.615432739,24,30.8074798584,-2.73645973206,-67.9273910522,6.68707704544,-16.7533569336,0.85091227293,0
