timestamp_ns,time_sec,flight_id,fault_type,alt_error,aspd_error,xtrack_error,wp_dist,nav_roll,nav_pitch,nav_yaw,nav_x,nav_y,nav_z,label_anomaly
1536693177176853208,0.0,carbonZ_2018-09-11-15-05-11_2_no_failure,normal,-0.669999957085,-631.273864746,-28.551651001,15,26.381855011,0.0942793413997,-81.2312850952,1.57953584194,-19.5980625153,-0.46372410655,0
1536693177214812632,0.037959424,carbonZ_2018-09-11-15-05-11_2_no_failure,normal,-0.75,-603.528381348,-26.6027736664,17,26.381855011,0.0942793413997,-81.2312850952,1.70917952061,-19.5293159485,-0.380111247301,0
1536693177256060568,0.07920736,carbonZ_2018-09-11-15-05-11_2_no_failure,normal,-0.75,-603.528381348,-26.6027736664,17,26.381855011,0.0942793413997,-81.2312850952,1.85399210453,-19.4543151855,-0.313758164644,0
1536693177354459128,0.17760592,carbonZ_2018-09-11-15-05-11_2_no_failure,normal,-0.829999983311,-603.528381348,-24.6514549255,19,26.381855011,0.0942793413997,-81.2312850952,2.14949202538,-19.3064460754,-0.161024272442,0
1536693177354491576,0.177638368,carbonZ_2018-09-11-15-05-11_2_no_failure,normal,-0.829999983311,-603.528381348,-24.6514549255,19,26.381855011,0.0942793413997,-81.2312850952,2.14949202538,-19.3064460754,-0.161024272442,0
1536693177404145272,0.227292064,carbonZ_2018-09-11-15-05-11_2_no_failure,normal,-0.879999995232,-576.569152832,-95.994102478,21,26.381855011,0.0942793413997,-81.2312850952,2.55935811996,-19.1150588989,0.0220452547073,0
1536693177447111864,0.270258656,carbonZ_2018-09-11-15-05-11_2_no_failure,normal,-0.879999995232,-576.569152832,-95.994102478,21,34.8045387268,-0.87172305584,-78.5243988037,2.64454078674,-19.0773849487,0.0630563721061,0
1536693177533410168,0.35655696,carbonZ_2018-09-11-15-05-11_2_no_failure,normal,-0.919999957085,-476.56918335,-94.0921401978,23,34.8045387268,-0.87172305584,-78.5243988037,2.99926400185,-18.9144706726,0.214572384953,0
1536693177557112408,0.3802592,carbonZ_2018-09-11-15-05-11_2_no_failure,normal,-0.919999957085,-476.56918335,-94.0921401978,23,34.8045387268,-0.87172305584,-78.5243988037,3.08979988098,-18.8782329559,0.253789871931,0
1536693177618471768,0.44161856,carbonZ_2018-09-11-15-05-11_2_no_failure,normal,-0.949999988079,-447.592926025,-92.2155456543,25,34.8045387268,-0.87172305584,-78.5243988037,3.37509393692,-18.7499351501,0.357084840536,0
1536693177648127608,0.4712744,carbonZ_2018-09-11-15-05-11_2_no_failure,normal,-0.949999988079,-447.592926025,-92.2155456543,25,34.8045387268,-0.87172305584,-78.5243988037,3.55688810349,-18.6714687347,0.441091537476,0
1536693177731028984,0.554175776,carbonZ_2018-09-11-15-05-11_2_no_failure,normal,-0.959999978542,-447.592926025,-90.3558502197,27,34.8045387268,-0.87172305584,-78.5243988037,3.92390632629,-18.5092658997,0.616871654987,0
1536693177748151608,0.5712984,carbonZ_2018-09-11-15-05-11_2_no_failure,normal,-0.959999978542,-447.592926025,-90.3558502197,27,34.8045387268,-0.87172305584,-78.5243988037,4.02996826172,-18.4607830048,0.645132482052,0
1536693177816859096,0.640005888,carbonZ_2018-09-11-15-05-11_2_no_failure,normal,-0.939999997616,-423.958770752,-88.5299606323,29,38.7606620789,-2.01164031029,-73.3731842041,4.45809698105,-18.2868061066,0.74644190073,0
1536693177862280504,0.685427296,carbonZ_2018-09-11-15-05-11_2_no_failure,normal,-0.939999997616,-423.958770752,-88.5299606323,29,38.7606620789,-2.01164031029,-73.3731842041,4.69952774048,-18.1899833679,0.764764010906,0
1536693177895860024,0.719006816,carbonZ_2018-09-11-15-05-11_2_no_failure,normal,-0.939999997616,-423.958770752,-88.5299606323,29,38.7606620789,-2.01164031029,-73.3731842041,4.94753456116,-18.0905780792,0.772884130478,0
1536693177941448056,0.764594848,carbonZ_2018-09-11-15-05-11_2_no_failure,normal,-0.919999957085,-423.958770752,-86.7209701538,30,38.7606620789,-2.01164031029,-73.3731842041,5.20650482178,-17.9848003387,0.767740786076,0
1536693178000753432,0.823900224,carbonZ_2018-09-11-15-05-11_2_no_failure,normal,-0.889999985695,-397.300354004,-84.9373550415,32,38.7606620789,-2.01164031029,-73.3731842041,5.61598730087,-17.819026947,0.732260763645,0
1536693178057085528,0.88023232,carbonZ_2018-09-11-15-05-11_2_no_failure,normal,-0.889999985695,-397.300354004,-84.9373550415,32,38.7606620789,-2.01164031029,-73.3731842041,5.89225912094,-17.7055397034,0.699958443642,0
1536693178136935160,0.960081952,carbonZ_2018-09-11-15-05-11_2_no_failure,normal,-0.870000004768,-397.300354004,-83.1875152588,34,38.7606620789,-2.01164031029,-73.3731842041,6.43133497238,-17.4733448029,0.656091988087,0
1536693178156968952,0.980115744,carbonZ_2018-09-11-15-05-11_2_no_failure,normal,-0.870000004768,-397.300354004,-83.1875152588,34,38.7606620789,-2.01164031029,-73.3731842041,6.56806087494,-17.4110469818,0.640570163727,0
